Review,Features
"Jace Rankin may be short, but he's nothing to mess with, as the man who was just hauled out of the saloon by the undertaker knows now. He's a famous bounty hunter in Oregon in the 1890s who, when he shot the man in the saloon, just finished a years long quest to avenge his sister's murder and is now trying to figure out what to do next. When the snotty-nosed farm boy he just rescued from a gang of bullies offers him money to kill a man who forced him off his ranch, he reluctantly agrees to bring the man to justice, but not to kill him outright. But, first he needs to tell his sister's widower the news.Kyla ""Kyle"" Springer Bailey has been riding the trails and sleeping on the ground for the past month while trying to find Jace. She wants revenge on the man who killed her husband and took her ranch, amongst other crimes, and she's not so keen on the detour Jace wants to take. But she realizes she's out of options, so she hides behind her boy persona as best she can and tries to keep pace. When a confrontation along the way gets her shot and Jace discovers that Kyle's a Kyla, she has to come clean about the *whole* reason she needs this scoundrel dead and hope he'll still help her.The book has its share of touching moments and slow-blooming romance. Kyla, we find out, has good reason to fear men and hide behind a boy's persona. Watching Jace slowly pull her out of that shell and help her conquer her fears was endearing. Her pain was real and deeply-rooted and didn't just disappear in the face of his sexiness. Neither did his understandable aversion to marriage magically disappear after a round of nookie. Why would a man who's drifted from town to town for his entire adult life - a man who's killed his fair share of men along the way - feel he'd make a good husband or father? They're both the walking wounded and in a unique position to help each other, they just need time to realize it.However, while it was packed to bursting with my favorite themes - Old West setting, a heroine passing as male, a morally ambiguous hero, wounded souls, road romance, the kitchen sink - there was a certain...distance in the writing that kept me from getting carried away. Both characters were distinct and fully-formed and I couldn't point to any glaring instances of bland telling or anything, I just never felt really invested. I enjoyed it quite a bit, as it was an exciting trip, but I was watching them from far away. I definitely wasn't on the run alongside them. Add on a hasty and too tidy ending, and the book left me feeling a bit less than completely satisfied.I enjoyed the book, but I can't say it was above average. I'd still read another book by the author.Note: I read the re-released ebook version and noticed there were a lot of formatting errors and missing words. I had to mentally edit as I read for some sentences to make sense. It wasn't too too bad, but it was a little distracting.","Rankin is a famous bounty hunter in Oregon in the 1890s who, when he shot the man in the saloon, just finished a years long quest to avenge his sister's murder and is"
Great short read.  I didn't want to put it down so I read it all in one sitting.  The sex scenes were great between the two males and one female character...a bit surprising - I never thought you could do that!  I learned something new and really enjoyed reading this book!  This is a great way to get all hot and bothered and take advantage of your significant other(s)!,Great short read. I didn't want to put it down so I read it all in one sitting. The sex scenes were great between the two males and one female character...a bit surprising - I never thought you could do
"I'll start by saying this is the first of four books so I wasn't expecting it to &#34;conclude&#34;. It centers on 3 children, Alex and his younger brother Argus, and Alex's friend, Sapphire. They find a name on a bus map that they can't find and so the mystery starts. Well written with good character development although lots of room still for more.It's quite a short book so I will be moving onto book 2 swiftly.","It centers on 3 children, Alex and his younger brother Argus, and Alex's friend Sapphire. They find a name on a bus map that they can't find and so the mystery starts. Well written with good character development"
"Aggie is Angela Lansbury who carries pocketbooks instead of writing them. While this light murder mystery is laced with misdirections, the clues lead to a rather obvious cliche of an ending. The setting,  views described in the story are its best and most believable parts, and Aggie the only well-written character. Very light reading.","Aggie is Angela Lansbury who carries pocketbooks instead of writing them. While this light murder mystery is laced with misdirections, the clues lead to a rather obvious cliche of an ending. The"
I did not expect this type of book to be in library was pleased to find it price was right,I did not expect this type of book to be in library was pleased to find it price was right
"Aislinn is a little girl with big dreams. After the death of her older brother, she decides to follow in his footsteps and become a lady knight. Her quest for knighthood brings many challenges and the temptation of forbidden love. Aislinn learns that being a knight means putting the Kingdom in front of personal concerns and helping those that cannot help themselves. In a journey is fraught with danger and filled with adventure, Aislinn is forced to grow up fast. She must stay strong and develop the skills necessary to realize her lifelong dream.With sword fights, passionate love, mythical creatures, and courtly games, Woman of Honor is my kind of book. I love the idea of incorporating real history in fantasy, and Ms. Zoltack's book is based on the real life story of a group of female knights. Blending history with fiction, her writing is full of plot and adventure and her characters are strong and believable. Most of all, I grew to love all of them and cared about their hardships and successes.Aislinn is quite the main protagonist. She's tenacious and bold, beautiful and strong. The romance that blooms between her and the prince is well developed after years of solid friendship and teasing. I enjoyed reading about their secret courtship and had no idea how their romance would turn out! Ms. Zoltack has a few twists in store that will shock and startle as well as please.In conclusion, I thoroughly recommend this book for everyone that enjoys fantasy, romance and adventure! I will be eagerly awaiting the sequel, Knight of Glory.","Aislinn is a little girl with big dreams. After the death of her older brother, she decides to follow in his footsteps and become a lady knight. Her quest for knighthood brings many challenges and the temptation of forbidden"
This has the makings of a good story... unfortunately it disappoints.it tells of two alpha were who are members of unfriendly packs... they have grown up together with one being gay and the other straight... then when it seems they are about to get together something happens and the story is told in alternating chapters of past and present.. the story and the couple fall apart in the switch of time and lack of a sustainable reason for the break.,This has the makings of a good story... unfortunately it disappoints.it tells of two alpha were who are members of unfriendly packs... they have grown up together with one being gay and the other straight... then when it seems
"I got this because I like collaborated short stories. Alot of times when two good writers put their heads together, the results turn out well. This is the case with this short story. The writers take an age old lesson and turn it into a good read. It begins with, as they call it, Crazy #1 who is picking up a hitchhiker and from there it gets graphic and a little much for my taste. Then it cuts to Nutcase #2 who is hitchhiking. They inevitably get together and the results are suspenseful. The ending I felt was well deserved on both accounts.I also watched the video of the two authors on how they decided to break this short story up and the idea was cool. One wrote their side for scenario 1 and the other did scenario 2 without talking with each other about how tier side was going. Then, when it came for them to bring the two pieces together, they made them fit perfectly. I think it took great talent for two authors to take their two seperate stories and merge them as well as they did.The story does have some pretty graphic details which is forwarned, but if you don't mind a little detail for a short story, then definitely pick this one up.","""I got this because I like collaborated short stories. Alot of times when two good writers put their heads together, the results turn out well. This is the case with this short story. The writers take an age old lesson and turn it"
"Loved this book, I am hooked on this series and hope there is more! Kelsey Maxwell really made these characters so I couldn't get enough.",Five Stars
"And that's a good thing. Short, sweet tease that gives you everything in a quick kick. A kick that comes in the dark.","This is a good thing. Short, sweet tease that gives you everything in a quick kick. A kick that comes in the dark."
